# Dépenses fiscales (« niches ») — annexe Voies et Moyens tome II, PLF 2023.
#
# POURQUOI CE FICHIER : c'est la part de l'argent public qui « sort » sans
# bénéficiaire nominatif — l'État en connaît le coût PAR DISPOSITIF mais ne
# publie (et souvent ne connaît) aucun bénéficiaire ligne à ligne. Ce fichier
# alimente la décomposition de l'estimation affichée sur l'accueil.
#
# Source officielle : PLF 2023, Évaluation des Voies et Moyens tome II,
# publié sur data.economie.gouv.fr (dataset
# plf2023_voies_et_moyens_t2_liste_des_depenses_fiscales, XLSX joint,
# onglets « Chiffrages » et « Bénéficiaires » fusionnés par numéro).
# DERNIER MILLÉSIME MACHINE-READABLE : le PLF 2024 ne publie que la liste
# sans chiffrage, les PLF 2025-2026 uniquement des PDF (constat 2026-07-04).
#
# Montants en MILLIONS d'euros. Légende officielle : « - » = aucun effet,
# « ε » = < 0,5 M€, « nc » = non calculé. La colonne la plus complète est la
# réalisation 2021 (333 dispositifs chiffrés sur 465).
impot_categorie;sous_categorie;sous_sous_categorie;numero;libelle;chiffrage_2021_realisation_Meur;chiffrage_2022_prevision_Meur;chiffrage_2023_prevision_Meur;beneficiaires_nature;beneficiaires_nombre
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110247;Crédit d'impôt sur le revenu au titre des intérêts d'emprunt supportés à raison de l'acquisition ou de la construction de l'habitation principale;14;12;-;Ménages;16100
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110248;Réduction d'impôt sur le revenu au titre des travaux de conservation ou de restauration d'objets mobiliers classés monuments historiques;1;1;1;Ménages;931
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110249;Réduction d’impôt sur le revenu au titre des dépenses de restauration d’immeubles bâtis situés dans les sites patrimoniaux remarquables (SPR), les quartiers anciens dégradés, et les quartiers du Nouveau programme national de renouvellement urbain (NPNRU) : Nouveau dispositif Malraux;32;38;38;Ménages;4040
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110250;Réduction d'impôt sur le revenu au titre des investissements locatifs réalisés dans le secteur de la location meublée non professionnelle (dispositif Censi-Bouvard);93;62;62;Ménages;44398
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110251;Réduction d'impôt sur le revenu en faveur de l'investissement locatif du 1er janvier 2009 au 31 décembre 2012 et, sous conditions, jusqu'au 31 mars 2013 dans les zones présentant un déséquilibre entre l'offre et la demande de logements (sous conditions de loyer) : Dispositif SCELLIER;360;264;200;Ménages;95211
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110252;Réduction d'impôt sur le revenu majorée en faveur de l'investissement locatif du 1er janvier 2009 au 31 décembre 2012 et, sous conditions, jusqu'au 31 mars 2013 dans le secteur intermédiaire dans les zones présentant un déséquilibre entre l'offre et la demande de logements accompagnée d'une déduction spécifique sur les revenus tirés de ces logements (sous conditions de loyer plus strictes et conditions de ressources du locataire) : Dispositif SCELLIER intermédiaire;323;237;180;Ménages;93577
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110256;Réduction d'impôt au titre des investissements effectués dans le secteur du logement social dans les collectivités d'outre-mer et en Nouvelle-Calédonie;33;23;23;Ménages;1739
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110258;Réduction d'impôt sur le revenu en faveur des investissements locatifs réalisés outre-mer jusqu'au 31 décembre 2012 ou, sous conditions, jusqu'au 31 mars 2013 : dispositif SCELLIER OUTRE-MER;2;1;1;Ménages;417
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110259;Réduction d'impôt sur le revenu en faveur des investissements locatifs réalisés outre-mer dans le secteur intermédiaire jusqu'au 31 décembre 2012 ou, sous conditions, jusqu'au 31 mars 2013 : dispositif SCELLIER INTERMEDIAIRE OUTRE-MER;1;1;1;Ménages;548
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110260;Réduction d’impôt au titre de la souscription de parts de fonds d’investissement de proximité investis dans des sociétés qui exercent leurs activités dans les départements et collectivités d’outre-mer (FIPOM);4;3;3;Ménages;2346
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110261;Réductions d'impôt sur le revenu en faveur de l'investissement locatif intermédiaire (dispositifs Duflot et Pinel);1117;1378;1516;Ménages;297313
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110262;Crédit d'impôt sur le revenu pour travaux forestiers et rémunérations versées pour la réalisation de contrats de gestion de bois et forêts jusqu'au 31 décembre 2022;6;7;7;Ménages;10698
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110263;Réduction d'impôt accordée au titre des souscriptions en numéraire au capital d'entreprises de presse;ε;ε;ε;Ménages;2148
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110264;Réduction d’impôt sur le revenu au titre des travaux de réhabilitation effectués dans une résidence de tourisme classée;1;1;-;Ménages;2089
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110265;Réduction d'impôt en faveur de l'investissement locatif intermédiaire rénové (Dispositif Denormandie);1;5;8;Ménages;606
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110266;Réduction d'impôt accordée au titre des souscriptions en numéraire au capital initial ou aux augmentations de capital d'une société foncière solidaire;8;8;8;Ménages;4916
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110267;Crédit d'impôt sur le revenu au titre du premier abonnement à un journal, à une publication périodique ou à un service de presse en ligne d'information politique et générale;-;3;3;Ménages;0
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110268;Crédit d’impôt destiné à l’acquisition et à la pose de systèmes de charge pour véhicule électrique;-;7;13;Ménages;0
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110269;Réduction d’impôt sur le revenu en faveur des logements donnés en location dans le cadre d’une convention ANAH (dispositif Loc’Avantages);-;-;nc;Ménages;0
Impôt sur le revenu;Calcul de l'impôt;Dispositions diverses;110302;"Réduction, dans la limite d’un certain montant, pour les contribuables des départements d’outre-mer de la cotisation résultant du barème (30 % en Guadeloupe, Martinique et Réunion ; 40 % en Guyane et à Mayotte) et de la retenue à la source sur les traitements, salaires, pensions et rentes viagères, servis à des personnes domiciliées fiscalement hors de France lorsque ces revenus proviennent de ces départements (8 % et 14,4 % au lieu de 12 % et 20 %)";368;368;368;Ménages;372614
Impôt sur le revenu;Calcul de l'impôt;Dispositions diverses;110307;Imposition des salaires ou des bénéfices des écrivains, des artistes et des sportifs selon une moyenne triennale ou quinquennale;nc;nc;nc;Ménages;Non déterminé
Impôt sur le revenu;Calcul de l'impôt;Dispositions diverses;110308;Décharge de paiement d'impôt sur le revenu en cas de décès du fait d'actes de terrorisme, de la participation à une opération extérieure ou de sécurité intérieure ou dans des circonstances ayant entraîné une citation à l'ordre de la Nation;ε;ε;nc;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120101;Exonération du salaire différé de l'héritier d'un exploitant agricole ayant cessé de participer directement et gratuitement à l'exploitation avant le 1er juillet 2014;1;1;1;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120104;Exonération du traitement attaché à la légion d'honneur et à la médaille militaire;ε;ε;ε;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120108;Exonération des sommes versées au titre de la participation, de l'intéressement, de l'abondement ou d'un partage de plus-value, aux plans d'épargne salariale et aux plans d'épargne retraite d'entreprise collectifs ou obligatoires;2060;2060;2060;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120109;Exonération du salaire des apprentis et des gratifications versées aux stagiaires versées à compter du 12 juillet 2014;234;322;327;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120111;Exonération de la participation des employeurs au financement des titres-restaurant;431;437;431;Ménages;4400000
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120112;Exonération de la contribution patronale et de la participation financière du comité d'entreprise et des organismes à caractère social au financement des chèques vacances;90;94;94;Ménages;4490000
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120113;Exonération partielle de la prise en charge par l'employeur, une collectivité territoriale ou Pôle emploi, des frais de transport entre le domicile et le lieu de travail;116;120;nc;Ménages;4000000
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120116;Exonération des gratifications allouées à l'occasion de la remise de la médaille d'honneur du travail;8;8;8;Ménages;300000
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120117;Exonération totale pour les prestations et rentes viagères servies aux victimes d'accidents du travail et de maladies professionnelles et à hauteur de 50 % pour les indemnités temporaires;454;465;465;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120123;Exonération des vacations horaires et des avantages retraite servis aux sapeurs-pompiers volontaires;66;66;66;Ménages;340000
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120124;Exonération totale ou partielle des sommes versées aux salariés détachés à l'étranger;115;nc;nc;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120126;Exonération des pensions servies en vertu des dispositions du code des pensions militaires d'invalidité et des victimes de guerre, de la retraite du combattant et des retraites mutuelles servies aux anciens combattants et aux victimes de guerre, ainsi que de certaines allocations servies aux anciens harkis et assimilées ou à leurs ayant droits;112;105;104;Ménages;1404206
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120127;Exonération des indemnités versées aux réservistes en période d'instruction, aux personnes accomplissant un service civique ou une autre forme de volontariat;72;75;75;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120128;Exonération de la rente viagère lorsqu'un PEA se dénoue après 5 ans ou un PEP après 8 ans;nc;nc;nc;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120129;Exonération de l'aide financière versée par l'Etat aux créateurs ou repreneurs d'entreprises (art. L. 5141-2 du code du travail);ε;ε;ε;Ménages;1631
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120131;Exonération temporaire des suppléments de rémunération versés aux salariés et mandataires sociaux au titre de l'exercice d'une activité professionnelle en France (primes d'impatriation), de la fraction de leur rémunération correspondant à l'activité exercée à l'étranger et de la rémunération des salariés et dirigeants de la Chambre de commerce internationale;208;188;nc;Ménages;14972
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120132;Exonération d'impôt sur le revenu (sur option) des salaires perçus par les jeunes au titre d'une activité exercée pendant leurs études secondaires ou supérieures ou leurs congés scolaires ou universitaires;329;353;367;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120133;Exonération des indemnités versées aux victimes de l'amiante;6;7;7;Ménages;17214
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120134;Exonération de l'aide financière versée par l'employeur ou par le comité d'entreprise en faveur des salariés afin de financer des services à la personne;45;45;45;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120138;Exonération sous plafond des indemnités reçues par les salariés en cas de rupture conventionnelle du contrat de travail (ou dispositifs assimilés);254;254;254;Ménages;452700
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120139;Exonération des sommes correspondant à des jours de congés non-pris ou prélevées sur un compte épargne-temps (CET) pour alimenter un PERCO ou un plan d'épargne retraite d'entreprise collectif ou obligatoire, dans la limite de dix jours par an;5;6;6;Ménages;6853
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120140;Exonération du pécule modulable d'incitation au départ des militaires;3;3;3;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120141;Exonération de l'indemnité de départ volontaire versée dans le cadre d'une restructuration ou d'une réorganisation du ministère de la défense;ε;ε;ε;Ménages;66
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120142;"Exonération de la prise en charge directe à titre de pensions alimentaires des dépenses d'hospitalisation ou d'hébergement en établissement : - des ascendants privés de ressources suffisantes par leurs enfants ou petits-enfants ; - des enfants majeurs infirmes dénués de ressources par leurs parents";16;16;16;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120143;Exonération des indemnités versées aux victimes des essais nucléaires français et à leurs ayants-droit;2;2;2;Ménages;215
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120144;Exonération de l’impôt sur le revenu des indemnités versées aux militaires au titre de leur participation aux opérations visant à la défense de la souveraineté de la France et à la préservation de l'intégrité de son territoire, engagées ou renforcées à la suite des attentats commis sur le territoire national en 2015;9;8;8;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120145;Exonération de l’impôt sur le revenu de l’indemnité journalière d’absence temporaire versée aux personnels des compagnies républicaines de sécurité et aux gendarmes mobiles;11;12;12;Ménages;24207
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations spécifiques;120146;Exonération de l’impôt sur le revenu, sous certaines conditions et limites, des rémunérations versées à raison des heures supplémentaires et complémentaires réalisées à compter du 1er janvier 2019;2091;1707;1867;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations des prestations familiales et sociales;120201;Exonération de l'allocation logement et de l'aide personnalisée au logement;56;56;56;Ménages;5009000
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations des prestations familiales et sociales;120202;Exonération des prestations familiales et de l'allocation aux adultes handicapés;1815;1820;1820;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations des prestations familiales et sociales;120203;Exonération des allocations, indemnités et prestations d'assistance et d'assurance;24;24;24;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations des prestations familiales et sociales;120204;"Exonération des indemnités journalières de sécurité sociale servies au titre des maladies ""longues et coûteuses""";500;520;535;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations des prestations familiales et sociales;120205;Exonération de l'allocation personnalisée d'autonomie (APA);115;115;115;Ménages;1318168
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Exonérations des prestations familiales et sociales;120206;Exonération de la prestation de compensation servie aux personnes handicapées en application de l'article L. 245-1 du code de l'action sociale et des familles;65;70;70;Ménages;245400
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Abattements;120401;Abattement de 10 % sur le montant des pensions (y compris les pensions alimentaires) et des retraites;4339;4420;4420;Ménages;14748524
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Abattements;120402;Abattements des articles 150-0 D ou 150-0 D ter du CGI au gain d'acquisition d'actions gratuites dont l'autorisation d'attribution par l'assemblée générale intervient du 8 août 2015 au 31 décembre 2017 et abattement de 50 % (ou le cas échéant de l’article 150-0 D ter) lorsque cette autorisation d’attribution intervient à compter du 1er janvier 2018.;49;79;79;Ménages;3599
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Régimes spéciaux d'imposition;120501;Régime spécial d'imposition des assistants maternels et des assistants familiaux régis par les articles L. 421-1 et suivants et L. 423-1 et suivants du code de l'action sociale et des familles;491;491;491;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Régimes spéciaux d'imposition;120503;Imposition, sous certaines conditions, aux taux forfaitaires de 41%, 30 % ou 18 % des gains de levée d'options de souscription ou d'achat d'actions attribuées avant le 28 septembre 2012;30;nc;nc;Ménages;2300
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Régimes spéciaux d'imposition;120504;Imposition au taux forfaitaire de 19 % des gains nets provenant de la cession des titres souscrits en exercice des bons de parts de créateur d'entreprise attribués jusqu’au 31 décembre 2017 et au taux forfaitaire de 12,8 %, après application le cas échéant de l’abattement de l’article 150-0 D ter du CGI, pour les bons attribués à compter du 1er janvier 2018.;37;nc;nc;Entreprises et ménages;900
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Régimes spéciaux d'imposition;120506;Imposition au taux forfaitaire de 30 % de l'avantage (« gain d'acquisition ») résultant de l'attribution d'actions gratuites avant le 28 septembre 2012;6;nc;nc;Ménages;500
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Régimes spéciaux d'imposition;120507;Etalement sur quatre ans de l'imposition du montant des droits transférés d'un compte épargne-temps vers un plan d'épargne pour la retraite collectif (PERCO) ou d'un plan d'épargne entreprise investi en titres de l'entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;nc;nc;nc;Ménages;Non déterminé
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Régimes spéciaux d'imposition;120508;"Imposition au taux forfaitaire des prestations de retraite versées sous forme de capital : 12,8 % pour la part correspondant aux produits provenant d'un plan d'épargne retraite ; 7,5 % pour les autres prestations de retraite servies sous forme de capital";200;200;200;Ménages;35534
Impôt sur le revenu;Traitements, salaires, pensions et rentes viagères;Régimes spéciaux d'imposition;120509;Etalement sur quatre ans de l'imposition du montant des primes versées par l'Etat aux sportifs médaillés aux Jeux olympiques et paralympiques et à leur guide;1;0;0;Ménages;200
Impôt sur le revenu;Revenus fonciers;Exonérations;130101;Exonération d’impôt sur le revenu au titre des revenus fonciers pour les associés personnes physiques des SCI d’accession progressive à la propriété;nc;nc;nc;Ménages;Non déterminé
Impôt sur le revenu;Revenus fonciers;Déductions;130201;Déduction des dépenses de réparations et d'amélioration;1700;nc;nc;Ménages;1700000
Impôt sur le revenu;Revenus fonciers;Déductions;130203;Déduction spécifique sur les revenus des logements loués sous conditions de loyer et de ressources du locataire : Dispositif BESSON ancien;32;30;25;Ménages;38000
Impôt sur le revenu;Revenus fonciers;Déductions;130204;Déduction dégressive sur les revenus des logements neufs loués à usage d'habitation principale : Dispositif PERISSOL;32;30;25;Ménages;48600
Impôt sur le revenu;Revenus fonciers;Déductions;130208;Déduction dégressive sur les revenus des logements loués à usage d'habitation principale pour les investissements réalisés entre le 3 avril 2003 et le 31 décembre 2009 : Dispositifs ROBIEN classique et ROBIEN recentré;73;30;-;Ménages;73000
Impôt sur le revenu;Revenus fonciers;Déductions;130209;Déduction dégressive sur les revenus des logements neufs loués à usage d'habitation principale (sous conditions de loyer et de ressources du locataire à compter du 1er janvier 1999) pour les investissements réalisés jusqu'au 3 avril 2003 : Dispositif BESSON neuf;3;1;-;Ménages;3000
Impôt sur le revenu;Revenus fonciers;Déductions;130211;Déduction sur les revenus des logements loués à usage d'habitation principale dans les zones de revitalisation rurale : Dispositif ROBIEN ZRR jusqu'en 2009 et SCELLIER ZRR à compter de 2009;7;5;3;Ménages;5800
Impôt sur le revenu;Revenus fonciers;Déductions;130213;Déduction des dépenses d'amélioration afférentes aux propriétés non bâties;ε;ε;ε;Ménages;220
Impôt sur le revenu;Revenus fonciers;Déductions;130214;Déduction spécifique sur les revenus des logements neufs à usage d'habitation principale (sous conditions de loyer et de ressources du locataire) : Dispositif BORLOO populaire;32;30;25;Ménages;19000
Impôt sur le revenu;Revenus fonciers;Déductions;130215;Déduction spécifique sur les revenus des logements donnés en location dans le cadre d'une convention ANAH : Dispositif BORLOO ancien;54;50;50;Ménages;45000
Impôt sur le revenu;Revenus fonciers;Déductions;130217;"Déduction des intérêts d'emprunt supportés par les nus-propriétaires de logements dont l'usufruit est détenu temporairement par un bailleur social (opérations ""d'usufruit locatif social"")";2;2;2;Ménages;1400
Impôt sur le revenu;Revenus fonciers;Déductions;130218;Déduction spécifique sur les revenus fonciers des logements donnés en location dans le cadre d’une convention ANAH : dispositif COSSE;23;25;27;Ménages;14000
Impôt sur le revenu;Revenus fonciers;Régimes spéciaux d'imposition;130302;Imputation sur le revenu global sans limitation de montant des déficits fonciers supportés par les propriétaires d’immeubles classés ou inscrits au titre des monuments historiques ou labellisés Fondation du patrimoine (immeubles bâtis);16;16;16;Ménages;Non déterminé
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140101;Exonération des intérêts et primes versés dans le cadre de l'épargne logement;411;419;405;Ménages;23000000
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140102;Exonération des intérêts des livrets A;124;131;383;Ménages;55000000
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140103;Exonération des intérêts des livrets bleus;12;12;35;Ménages;Non déterminé
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140104;Exonération des intérêts des livrets de développement durable;54;56;161;Ménages;24500000
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140105;Exonération des intérêts des livrets d'épargne populaire;19;16;50;Ménages;7300000
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140106;Exonération des intérêts des livrets jeune;4;3;5;Ménages;Non déterminé
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140109;Exonération des revenus provenant de l'épargne salariale (participation, plan d'épargne salariale et compartiment épargne salariale des plans d'épargne retraite);280;280;280;Ménages;11440000
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140117;Exonération des dividendes capitalisés sur un plan d'épargne en actions;250;nc;nc;Ménages;Non déterminé
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140119;Exonération ou imposition réduite des produits attachés aux bons ou contrats de capitalisation et d'assurance-vie;1238;1348;1317;Ménages;Non déterminé
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140120;Exonération des produits attachés à certains contrats d'assurance investis en actions ouverts avant le 1er janvier 2014;5;5;5;Ménages;Non déterminé
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140122;Exonération, sous certaines conditions, des revenus des parts de fonds communs de placement à risques (FCPR) et des produits distribués des sociétés de capital risque (SCR);5;3;3;Ménages;Non déterminé
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140123;Exonération des produits des plans d'épargne populaire;56;77;56;Ménages;Non déterminé
Impôt sur le revenu;Revenus de capitaux mobiliers;Exonérations;140126;Exonération temporaire à hauteur de 50 % des revenus de capitaux mobiliers perçus à l'étranger par des personnes physiques impatriées;2;2;2;Ménages;2638
Impôt sur le revenu;Revenus de capitaux mobiliers;Dispositions diverses;140308;Prélèvement libératoire à taux réduit sur les produits de placement à revenus fixes abandonnés dans le cadre d'un mécanisme d'épargne solidaire;2;2;2;Ménages;Non déterminé
Impôt sur le revenu;Revenus de capitaux mobiliers;Dispositions diverses;140309;Mécanisme d’imputation de la perte en capital subie en cas de non-remboursement de prêts participatifs ou de minibons exclusivement sur les intérêts d’autres prêts participatifs ou d’autres minibons;3;4;5;Ménages;Non déterminé
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Exonérations;150114;Exonération de la première cession d'un logement en France par des personnes physiques non résidentes de France, ressortissantes d'un Etat membre de l'Espace économique européen (EEE), dans la limite de 150 000 € de plus-value nette imposable;20;20;20;Ménages;Non déterminé
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Exonérations;150117;Exonération des plus-values de cession réalisées par des titulaires de pensions de vieillesse ou de la carte « mobilité inclusion » portant la mention « invalidité », sous conditions de revenus et de patrimoine;15;15;15;Ménages;Non déterminé
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Exonérations;150118;Exonération des plus-values immobilières au titre des cessions d’immeubles, sous conditions, au profit d’organismes en charge du logement social et de tout cessionnaire prenant l’engagement de construire des logements sociaux, réalisées jusqu’au 31 décembre 2022;10;10;10;Ménages;Non déterminé
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Exonérations;150119;Exonération des plus-values immobilières au titre des cessions d'immeubles au profit des collectivités territoriales ou de certains établissements publics et sociétés en vue de leur cession par ceux-ci à des organismes en charge du logement social, réalisées du 1er janvier 2014 au 31 décembre 2022;ε;ε;ε;Ménages;Non déterminé
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Exonérations;150120;Exonération des plus-values immobilières au titre de la première cession d'un logement sous condition de remploi par le cédant d'une fraction du prix de cession à l'acquisition ou la construction d'un logement affecté à son habitation principale;50;55;50;Ménages;Non déterminé
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Exonérations;150121;Exonération des plus-values immobilières réalisées par les personnes âgées ou handicapées à l'occasion de la cession de leur ancienne résidence principale avant leur entrée dans un établissement médicalisé;nc;nc;nc;Ménages;Non déterminé
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Modalités de calcul;150209;Abattement exceptionnel de 70% ou de 85% applicable, sous conditions, aux plus-values de cession de terrains à bâtir ou d'immeubles bâtis destinés à la démolition, en vue de la construction de logements, en zones A et A bis, réalisées du 1er janvier 2018 au 31 décembre 2022;nc;nc;nc;Ménages;Non déterminé
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession d'immeubles : Modalités de calcul;150210;Abattement exceptionnel de 70% ou de 85% applicable, sous conditions, aux plus-values de cessions d'immeubles bâtis destinés à la démolition, en vue de la construction de logements, situés dans le périmètre d’une opération de revitalisation du territoire (ORT) ou d’une grande opération d’urbanisme (GOU), réalisées du 1er janvier 2021 au 31 décembre 2025;nc;nc;nc;Ménages;Non déterminé
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession de biens meubles : Exonérations;150403;"Exonération de la taxe forfaitaire sur les bijoux, objets d'art, de collection et d'antiquité en cas de vente aux musées bénéficiaires de l'appellation ""musée de France"" ou aux services d'archives et bibliothèques de l'Etat, d'une collectivité territoriale ou d'une autre personne publique";5;5;5;Ménages;Non déterminé
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession de biens meubles : Exonérations;150405;Exonération de la taxe forfaitaire pour les cessions et exportations de métaux précieux, bijoux, objets d'art, de collection et d'antiquité réalisées par des non-résidents;5;5;5;Ménages;Non déterminé
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession de biens meubles : Exonérations;150406;Exonération temporaire des plus-values de cession d'un droit de surélévation réalisées par les particuliers en vue de la réalisation par le cessionnaire de locaux destinés à l'habitation;nc;nc;nc;Ménages;Non déterminé
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession de biens meubles, de droits sociaux ou gains de cession de valeurs mobilières : Modalités de calcul;150515;Abattement fixe applicable aux cessions de titres ou droits par les dirigeants de PME partant à la retraite;59;73;nc;Entreprises et ménages;2925
Impôt sur le revenu;Plus-values des particuliers;Plus-values réalisées lors de la cession de biens meubles, de droits sociaux ou gains de cession de valeurs mobilières : Modalités de calcul;150518;Abattement majoré appliqué aux plus-values sur cessions de titres acquis moins de dix ans après la création d'une PME;148;178;nc;Ménages;6641
