# Dépenses fiscales (« niches ») — annexe Voies et Moyens tome II, PLF 2023.
#
# POURQUOI CE FICHIER : c'est la part de l'argent public qui « sort » sans
# bénéficiaire nominatif — l'État en connaît le coût PAR DISPOSITIF mais ne
# publie (et souvent ne connaît) aucun bénéficiaire ligne à ligne. Ce fichier
# alimente la décomposition de l'estimation affichée sur l'accueil.
#
# Source officielle : PLF 2023, Évaluation des Voies et Moyens tome II,
# publié sur data.economie.gouv.fr (dataset
# plf2023_voies_et_moyens_t2_liste_des_depenses_fiscales, XLSX joint,
# onglets « Chiffrages » et « Bénéficiaires » fusionnés par numéro).
# DERNIER MILLÉSIME MACHINE-READABLE : le PLF 2024 ne publie que la liste
# sans chiffrage, les PLF 2025-2026 uniquement des PDF (constat 2026-07-04).
#
# Montants en MILLIONS d'euros. Légende officielle : « - » = aucun effet,
# « ε » = < 0,5 M€, « nc » = non calculé. La colonne la plus complète est la
# réalisation 2021 (333 dispositifs chiffrés sur 465).
impot_categorie;sous_categorie;sous_sous_categorie;numero;libelle;chiffrage_2021_realisation_Meur;chiffrage_2022_prevision_Meur;chiffrage_2023_prevision_Meur;beneficiaires_nature;beneficiaires_nombre
Impôts locaux;Taxe foncière sur les propriétés bâties;Dégrèvements à la charge de l'Etat;50204;Dégrèvement égal au quart des dépenses à raison des travaux d'économie d'énergie, sur la cotisation de taxe foncière sur les propriétés bâties pour les organismes HLM et les SEM;124;124;124;Entreprises;7422
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;60102;Exonération de la part communale et intercommunale en faveur des terres agricoles à concurrence de 20 %;106;105;105;Entreprises et ménages;Non déterminé
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;60103;Exonération en faveur des terrains plantés en bois;1;1;1;Parcelles;572000
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;60104;Exonération totale en faveur des terres agricoles situées en Corse;2;2;2;Parcelles;Non déterminé
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;60105;Exonération en faveur des zones humides;0;0;0;Parcelles;0
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;60106;Exonération en faveur des parcelles NATURA 2000;1;1;1;Parcelles;50000
Impôts locaux;Taxe foncière sur les propriétés non bâties;Exonérations compensées par l'Etat;60108;Exonération partielle des terres agricoles situées dans les départements d'outre-mer;8;8;8;Parcelles;Non déterminé
Impôts locaux;Taxe foncière sur les propriétés non bâties;Dégrèvements à la charge de l'Etat;60201;Pertes de récoltes ou de bétail;130;nc;nc;Entreprises;1194000
Impôts locaux;Taxe foncière sur les propriétés non bâties;Dégrèvements à la charge de l'Etat;60202;Association foncière pastorale;ε;ε;ε;Entreprises;2157
Impôts locaux;Taxe foncière sur les propriétés non bâties;Dégrèvements à la charge de l'Etat;60203;Dégrèvement d'office jeunes agriculteurs;7;7;7;Entreprises;51669
Impôts locaux;Taxe d'habitation;Dégrèvements à la charge de l'Etat;70201;Dégrèvement d'office en faveur des gestionnaires de foyers et des organismes sans but lucratif agréés pour les logements loués à des personnes défavorisées;88;89;nc;Entreprises;48000
Impôts locaux;Taxe d'habitation;Dégrèvements à la charge de l'Etat;70204;Dégrèvement de taxe d'habitation en cas de décès du fait d'actes de terrorisme,de la participation à une opération extérieure ou de sécurité intérieure ou dans des circonstances ayant entraîné une citation à l'ordre de la Nation;0;ε;-;Ménages;0
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90101;Exonération en faveur de certaines opérations réalisées dans les ZRR;ε;ε;ε;Entreprises;22227
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90104;Réduction de 25 % des bases imposées en Corse au profit des communes et des EPCI. Suppression des parts départementales et régionales.;7;7;7;Entreprises;27483
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90105;Exonération en faveur des établissements existants ou créés dans les ZFU créées en 1996;ε;-;-;Entreprises;18
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90106;Exonération en faveur des établissements existants ou créés dans les ZFU créées en 2003;ε;ε;-;Entreprises;5
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90107;Exonération en faveur des établissements existants au 1er janvier 2006 dans les zones franches urbaines (ZFU) de troisième génération ou créés ou étendus entre le 1er janvier 2006 et le 31 décembre 2014 dans les trois générations de ZFU;ε;ε;ε;Entreprises;10187
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90108;Abattement sur la base nette imposable des établissements situés dans les départements d'outre-mer;18;18;18;Entreprises;9281
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90109;Exonération en faveur des établissements existants au 1er janvier 2015 dans un quartier prioritaire de la politique de la ville (QPV) ou créés ou étendus entre le 1er janvier 2015 et le 31 décembre 2022 dans un QPV;2;2;2;Entreprises;14681
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90110;Exonération en faveur des entreprises dont les établissements vendent au public des écrits périodiques en qualité de mandataires inscrits à la commission du réseau de la diffusion de la presse et revêtent la qualité de diffuseurs de presse spécialistes;5;5;5;Entreprises;5834
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90111;Exonération en faveur des établissements créés dans un bassin urbain à dynamiser (BUD);ε;ε;ε;Entreprises;634
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90112;Exonération de la cotisation minimum de CFE des redevables réalisant un très faible chiffre d'affaires;199;234;nc;Entreprises;1546565
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90113;Exonération en faveur des établissements créés dans une zone de développement prioritaire;ε;ε;ε;Entreprises;2
Impôts locaux;Cotisation foncière des entreprises;Exonérations compensées par l'Etat;90114;Exonération en faveur des établissements exerçant une activité commerciale dans une zone de revitalisation des commerces en milieu rural (ZoRCoMiR);ε;ε;ε;Entreprises;1
Impôts locaux;Cotisation foncière des entreprises;Dégrèvements à la charge de l'Etat;90201;Crédit d'impôt pour les micro entreprises implantées en zones de restructuration de la défense (ZRD);0;0;0;Entreprises;0
Impôts locaux;Cotisation foncière des entreprises;Dégrèvements à la charge de l'Etat;90202;Dégrèvement exceptionnel de la cotisation foncière des entreprises au titre de 2020 au profit des entreprises de taille petite ou moyenne des secteurs relevant du tourisme, de l’hôtellerie, de la restauration, du sport, de la culture, du transport aérien et de l’événementiel particulièrement affectés par la crise sanitaire;5;ε;-;Entreprises;4823
